Key,Type,Desc,English
DefaultFont,0,,UIResources/Base/Fonts/DefaultFont
TitleFont,0,,UIResources/Base/Fonts/DefaultFonts/Almendra-Bold SDF
action_allow,0,,Allow
action_UrgentHaul,0,,Urgent Haul
action_attack,0,,Attack
action_attack_disabled,0,,Attack Disabled
action_attacking,0,,Attacking
action_banish,0,,Banish
action_cancel,0,,Cancel
action_abortgoal,0,,Cancel Action
action_chopping,0,,Chop
action_cutallvegetation,0,,Cut
action_cutting,0,,Cut
action_deconstructing,0,,Deconstruct
action_draft,0,,Draft
action_drafted,0,,Drafted
action_activate,0,,Activate
action_activateBell,0,,Activate
action_deactivateBell,0,,Deactivate
action_equipping,0,,Equip
action_forbid,0,,Forbid
action_harvesting,0,,Harvest
action_hunting,0,,Hunt
action_list,0,,Actions
action_mining,0,,Mine
action_upgradeBuilding,0,,Replace structure
uprade_building_title,0,,Replace structures
uprade_building_info,0,,"Choose what structure will be replaced. 
Some structures might not appear in the list, and some structures don't have a replace option. 
Some replacement options might not be possible if the necessary construction materials are not available."
uprade_building_selected,0,,Selected
uprade_building_possible,0,,Possible Replacements
hud_info_show_stability_vis,0,,Show stability values around cursor
ctrl_ShowhideStability,0,,Show stability values
ctrl_UpgradeBuilding,0,,Not for sale
action_copybuilding,0,,Copy
resource_name_enemy,0,,Enemy Corpse
resource_name_worker,0,,Settler Corpse
grave,0,,Here lies
window_state_open,0,,Open
window_state_closed,0,,Closed
open_window_info,0,,An open window is ideal to cool a room during a hot summer's day
closed_window_info,0,,A closed window keeps the warmth in. Best kept closed in the wintertime
torch_state_on,0,,On
torch_state_off,0,,Off
torch_on_info,0,,This flame radiates heat and light while on
torch_off_info,0,,No heat or light is emitted
lock_state_locked,0,,Locked
lock_state_unlocked,0,,Default
lock_state_always_open,0,,Keep open
locked_door_info,0,,This door is locked to everyone
unlocked_door_info,0,,"Door passable by: settlers, friendly NPCs, pets and some domesticated animals like dogs and cats.
Door blocks: enemies, aggressive NPCs and wild animals."
unlocked_barn_door_info,0,,Anyone can pass through this door.
always_open_door_info,0,,Anyone can pass through this door. It does not slow down those passing through.
