ID,Text,Comment
Demolish.Mark,Tháo dỡ,Demolishing is removing with the use of builders. Must be different than 'Delete' which has a slightly different meaning in the game.
Demolish.PriorityTitle,Độ ưu tiên tháo dỡ:,Setting a priority for demolition work on demolition target
DemolishSelectionTool.Description,Dùng công cụ này để đánh dấu các tài nguyên bạn muốn tháo dỡ. Tất cả tài nguyên sẽ bị mất.,
DemolishSelectionTool.Title,Đánh dấu tài nguyên để tháo dỡ,
DemolishUnselectionTool.Description,Dùng công cụ này để hủy đánh dấu các tài nguyên đã chọn tháo dỡ.,
DemolishUnselectionTool.Title,Hủy đánh dấu tháo dỡ tài nguyên,
Demolishable.Science.Grants,Thưởng,"Text shown in entity panel when a building grants science points, like e.g. 'Grants 1000 points'. Please keep short."
Distribution.BalanceInfo,Các khu vực được kết nối sẽ tự cân bằng hàng hóa lẫn nhau dựa trên tỉ lệ lấp đầy kho chứa và ngưỡng xuất khẩu tùy chỉnh.,
Distribution.ExportAll,Xuất khẩu tất cả hàng hóa không giới hạn,A setting for the distribution panel that makes it so all goods are exported.
Distribution.ExportNone,Không xuất khẩu bất kỳ hàng hóa nào,A setting for the distribution panel that makes it so no goods are exported.
Distribution.ExportThreshold,Ngưỡng xuất khẩu: {0},{0} stands for export threshold (minimum) value as percent. Tooltip for export threshold slider.
Distribution.ImportAuto,Nhập khẩu khi cần,A setting for the distribution panel that makes it so local storage will be filled based on fill rate of all storages in the network.
Distribution.ImportAuto.Description,Chỉ nhập khẩu hàng hóa nếu có kho chứa phù hợp hoặc nơi làm việc có nhu cầu.,
Distribution.ImportAutoAll,Nhập khẩu tất cả khi cần,A setting for the distribution panel that makes it so all goods are imported if there's a storage that needs them.
Distribution.ImportDisabled,Không nhập khẩu,A setting for the distribution panel that disables import of the chosen good.
Distribution.ImportDisabled.Description,Tắt hoàn toàn việc nhập khẩu hàng hóa này vào khu vực.,
Distribution.ImportDisabledAll,Không nhập khẩu gì,A setting for the distribution panel that makes it so no goods are imported.
Distribution.ImportForced,Luôn luôn nhập khẩu,"A setting for the distribution panel that makes it so all goods are imported alwyas, even if there's no storage for it."
Distribution.ImportForced.Description,Luôn nhập khẩu hàng hóa này đến Trạm trung chuyển khu vực ngay cả khi không có kho chứa phù hợp hay nhu cầu làm việc.,
Distribution.ImportForcedAll,Luôn nhập khẩu tất cả,"District Crossing should be the same as in Building.DistrictCrossing.DisplayName. A setting for the distribution panel that makes it so all goods are imported. Additionally, it takes into account internal storage of the District Crossing building."
Distribution.ImportGoodTooltip.Disabled,Việc nhập khẩu bị tắt theo thiết lập phân phối.,"The text shown on a good's tooltip when its import option is set to ""Do not import"""
Distribution.ImportGoodTooltip.Forced,Việc nhập khẩu được bắt buộc theo thiết lập phân phối.,"The text shown on a good's tooltip when its import option is set to ""Import always"""
Distribution.ImportGoodTooltip.Importable,Việc nhập khẩu được bật do có kho chứa và nhu cầu làm việc.,"The text shown on a good's tooltip when it is importable. ""Storage and workplace demand"" should be the same as in Distribution.ImportAuto.Description"
Distribution.ImportGoodTooltip.NonImportable,Việc nhập khẩu bị chặn do thiếu kho chứa và nhu cầu làm việc trong khu vực này.,"The text shown on a good's tooltip when it is not importable. ""Storage and workplace demand"" should be the same as in Distribution.ImportAuto.Description"
Distribution.ImportedGoods,Hàng hóa nhập khẩu,The header of the panel that shows importable and non-importable goods
Distribution.ManageDistribution,Quản lý phân phối,Label for button that opens distribution panel. Distribution should be the same as in BatchControl.Distribution
Distribution.Reset,Khôi phục tất cả về mặc định,A button that resets distribution settings to default.
Districts.DefaultDistrictName,Khu vực {0},"{0} is a number. By default districts are named District 1, District 2 etc."
Districts.Districts,Các khu vực,
Districts.GlobalView,Góc nhìn toàn cảnh,
Duplication.DuplicateSettingsToolDescription,Chọn mục tiêu để dán cấu hình,Description of a tool which copies configuration from one building to another
Dwelling.Dwellers,Cư dân,Header for the box of the inhabitants/tenants of this house
Dwelling.Inhabitants,Cư dân: {0},{0} stands for a number. How many beavers live in this house.
Dwelling.Newborn,{0} vừa chào đời!,{0} stands for beaver name. Notification that shows when a new beaver is born.
Dwelling.NoBeaverCanReach,Không chú hải ly nào có thể đi đến nhà ở này.,Information that this building is unreachable for any beavers.
Dwelling.NoUnemployedCanReach,Không chú hải ly thất nghiệp nào có thể đi đến nhà ở này.,Information that this building is unreachable for any unemployed beavers.
Dwellings.FreeBeds,Giường trống,Label before number of unoccupied beds
Dwellings.OccupiedBeds,Giường đã có chủ,Label before number of occupied beds
EffectProbability.High,Tỉ lệ cao bị: {0},"Text indicating a high chance of an effect occurring, {0} stands for an effect name (same as Need.Injury.DisplayName). For example: 'High chance of: Injury'"
EffectProbability.Low,Tỉ lệ thấp bị: {0},"Text indicating a low chance of an effect occurring, {0} stands for an effect name (same as Need.Injury.DisplayName). For example: 'Low chance of: Injury'"
EffectProbability.Medium,Tỉ lệ trung bình bị: {0},"Text indicating a medium chance of an effect occurring, {0} stands for an effect name (same as Need.Injury.DisplayName). For example: 'Medium chance of: Injury'"
Emptying.Empty,Dọn rỗng kho,A command for beavers to empty this storage.
Enterable.DistanceToDistrict,Khoảng cách tới Trung tâm khu vực: {0},{0} stands for distance to District Center. District Center must be the same as Building.DistrictCenter.DisplayName
Enterable.DistanceToDistrictLarge,Hãy cân nhắc tối ưu hóa đường đi hoặc chia nhỏ khu vực này ra.,
EntityPanel.ChangeName,Nhập tên mới:,Shown when renaming a beaver or a district
EntityPanel.Close,Đóng,Tooltip for close button on entity panel
EntityPanel.Customize,Tùy chỉnh,Tooltip over a button in entity panel which opens color customization
EntityPanel.Focus,Theo dõi,Tooltip over follow/focus button on entity panel
EntityPanel.Hide,Ẩn mô tả,Tooltip for a button which hides description
EntityPanel.Rename,Đổi tên,Common tooltip text for rename beaver / rename district
EntityPanel.Show,Hiện mô tả,Tooltip for a button which shows description
Experimental.Header,Thông tin Chế độ Thử nghiệm,Welcome text that is shown to players of the experimental versions of the game
